owner,repo_count,total_stars,total_forks
freeCodeCamp,2,471986,45203
microsoft,14,445001,132424
yangshun,3,407415,48873
flutter,6,395900,81980
netdata,5,384460,31230
jackfrued,2,351534,110050
iptv-org,3,313224,13983
nvm-sh,3,270617,28923
apache,19,256921,123651
tonsky,3,242016,9522
open-webui,2,233758,32836
google,34,225730,44686
Homebrew,8,224928,94312
sansan0,6,219624,119448
spring-projects,4,218733,122659
android,8,203605,50503
ggml-org,4,195766,29299
sveltejs,3,190053,11555
jaywcjlove,2,189416,14242
JetBrains,6,186927,20797
PanJiaChen,2,180362,61306
yeongpin,4,179664,21460
airbnb,4,176396,30790
pi-hole,4,174203,10024
kingToolbox,6,173586,13374
mudler,5,160490,12784
curl,4,160212,27896
php,4,158664,31896
PaddlePaddle,3,154858,24815
huginn,3,144717,12630
dbeaver,3,142710,11877
swiftlang,3,142457,21545
PKUFlyingPig,2,139356,15494
ashishps1,6,138029,32413
discourse,3,137091,26187
twitter,2,135768,25252
ColorlibHQ,3,135585,54798
danielmiessler,2,134636,49614
metabase,3,134439,18171
karpathy,4,133844,21583
supabase,9,132729,13967
penpot,3,129075,7107
Alamofire,3,126714,22923
github,8,126580,92219
jgm,3,121806,11088
facebookresearch,6,121739,16222
ryanoasis,2,121412,7690
bradtraversy,3,120597,29196
logseq,3,118992,7170
youngyangyang04,2,118862,24532
minio,2,117710,13030
openssl,4,116604,43804
koalaman,3,115701,5673
LadybirdBrowser,2,112440,5030
mrdoob,1,109653,36129
axios,1,108310,11447
WerWolv,2,103640,4594
rustdesk,1,103428,15259
dani-garcia,2,103056,4808
anthropics,4,102630,10021
gkd-kit,3,101853,4935
tauri-apps,1,99545,3207
angular,1,99448,26840
mui,1,97400,32790
coollabsio,2,95996,6484
2dust,2,95538,13322
ryanmcdermott,1,94110,12497
Zie619,2,93010,10290
square,2,90585,16607
isocpp,2,88988,11066
phoenixframework,6,87921,12141
sst,5,87530,6459
prometheus,4,86263,17074
google-gemini,1,85667,9765
clash-verge-rev,1,85328,6291
opencv,1,85134,56396
Kong,2,84620,10066
animate-css,1,82502,16143
OpenZeppelin,5,80831,37055
louislam,1,79252,7048
PostgREST,3,78585,3411
termux,3,77985,13116
Skyvern-AI,4,77460,6684
folke,11,74849,2773
astral-sh,1,74158,2290
hiddify,3,73788,6465
fastfetch-cli,4,73656,2524
onevcat,3,72468,8220
zed-industries,2,72125,7178
plausible,3,71472,3948
localsend,1,71196,3808
moby,1,71173,18859
jingyaogong,2,70146,8208
ocornut,1,69793,11370
protocolbuffers,1,69762,15948
base,2,69059,3368
firecrawl,1,69034,5403
apple,9,68251,3936
umami-software,2,67842,11972
AppFlowy-IO,1,66792,4762
